Label,Northing,Easting,Elevation
43522,4476073.467,339362.387,2181.137
43521,4476082.941,339355.802,2181.097
43520,4476088.575,339344.278,2181.757
43519,4476092.082,339331.025,2182.044
43518,4476093.67,339315.166,2182.1
43517,4476095.77,339299.781,2181.861
43516,4476096.283,339286.283,2181.552
43515,4476095.742,339272.973,2181.615
43514,4476095.502,339257.483,2181.669
43513,4476096.647,339241.875,2181.59
43512,4476095.888,339228.242,2181.666
43511,4476096.353,339210.575,2181.293
43510,4476095.976,339195.692,2180.908
43509,4476096.064,339181.374,2180.82
43508,4476096.729,339167.814,2180.804
43507,4476097.944,339150.254,2180.844
43506,4476097.437,339141.5,2180.708
43505,4476097.694,339119.697,2180.669
43504,4476099.149,339106.328,2181.314
43503,4476100.191,339074.284,2181.767
43502,4476100.051,339063.128,2182.049
43501,4476099.848,339044.112,2183
43500,4476098.863,339033.383,2183.517
43498,4476093.352,339016.449,2184.562
43497,4476086.137,339002.232,2185.462
43496,4476077.03,338988.086,2186.124
43495,4476065.175,338975.185,2186.305
43494,4476056.145,338967.482,2186.475
43493,4476044.798,338957.833,2186.622
43492,4476034.182,338947.946,2186.789
43491,4476022.059,338937.125,2187.555
43490,4476014.842,338923.135,2190.938
43489,4476006.606,338914.303,2192.761
43488,4475998.193,338901.941,2193.58
43487,4475993,338890.248,2193.3
43486,4475986.381,338877.952,2192.268
43485,4475980.697,338864.091,2192.69
43484,4475975.436,338852.981,2193.193
43483,4475968.554,338838.171,2192.889
43482,4475961.966,338823.689,2191.896
43481,4475955.533,338808.622,2191.483
43480,4475951.243,338795.586,2191.717
43479,4475945.856,338780.259,2191.969
43478,4475941.621,338767.533,2192.474
43477,4475936.536,338752.424,2193.176
43476,4475930.138,338735.163,2194.684
43475,4475924.002,338722.088,2195.322
43474,4475917.015,338709.632,2196.196
43473,4475908.488,338694.779,2196.964
43472,4475900.809,338680.979,2197.394
43471,4475894.934,338670.556,2197.711
43470,4475886.164,338655.907,2198.251
43469,4475880.64,338644.655,2198.608
43468,4475874.27,338630.462,2199.244
43467,4475870.662,338618.008,2199.618
43466,4475868.756,338602.665,2199.807
43465,4475868.309,338590.226,2200.141
43464,4475867.817,338575.547,2200.746
43463,4475867.878,338561.872,2201.05
43462,4475867.337,338547.625,2201.656
43461,4475867.846,338531.399,2202.283
43460,4475869.429,338516.654,2202.916
43459,4475871.958,338502.966,2203.393
43458,4475877.045,338488.098,2203.911
43457,4475882.567,338472.239,2203.233
43456,4475887.433,338461.248,2202.973
43455,4475892.017,338445.698,2203.446
43454,4475897.674,338429.106,2203.131
43453,4475899.512,338416.319,2204.378
43452,4475901.344,338401.163,2206.147
43451,4475902.911,338385.253,2207.009
43450,4475904.702,338370.315,2207.435
43449,4475906.699,338356.714,2207.965
43448,4475907.947,338342.611,2208.081
43447,4475911.112,338327.822,2208.955
43446,4475914.747,338310.527,2209.224
43445,4475918.06,338297.67,2209.59
43444,4475921.723,338282.758,2209.709
43443,4475927.062,338267.853,2210.17
43442,4475931.962,338254.897,2210.258
43441,4475937.493,338242.441,2210.651
43440,4475942.844,338228.971,2210.876
43439,4475948.865,338212.62,2211.219
