Label,Northing,Easting,Elevation
45382,4479547.179,337686.824,2066.847
45380,4479525.983,337699.998,2067.035
45378,4479496.851,337716.954,2068.434
45376,4479470.804,337727.817,2069.046
45374,4479441.032,337729.806,2069.584
45372,4479409.422,337731.266,2070.702
45370,4479382.031,337735.99,2072.009
45368,4479350.864,337744.774,2072.506
45366,4479321.88,337753.326,2072.619
45364,4479293.189,337760.329,2073.746
45362,4479262.76,337758.306,2074.629
45360,4479234.574,337774.045,2074.762
45358,4479204.659,337775.838,2075.166
45356,4479174.535,337779.393,2076.264
45354,4479142.767,337783.804,2077.647
45352,4479120.589,337803.337,2078.266
45350,4479107.146,337830.172,2079.153
45348,4479098.203,337854.835,2080.147
45346,4479082.048,337880.835,2081.278
45344,4479064.038,337904.492,2082.389
45342,4479045.567,337929.287,2083.197
45340,4479030.081,337954.308,2084.826
45338,4479014.794,337977.125,2085.81
45336,4478994.092,338002.269,2086.187
45334,4478970.857,338019.814,2086.319
45332,4478944.881,338035.652,2087.225
45330,4478917.452,338050.502,2088.334
45328,4478888.363,338069.195,2089.191
45326,4478871.839,338086.868,2090.382
45324,4478850.422,338110.094,2092.391
45322,4478830.739,338129.616,2094.651
45320,4478803.76,338143.522,2095.005
45318,4478776.409,338156.473,2095.299
45316,4478742.616,338157.894,2096.38
45314,4478711.851,338159.607,2097.291
45312,4478682.278,338176.415,2098.48
45310,4478650.982,338184.301,2099.609
45308,4478634.834,338189.423,2100.114
45306,4478611.195,338197.688,2100.712
45304,4478588.768,338214.066,2100.973
45302,4478570.169,338235.375,2102.502
45300,4478541.556,338239.41,2102.981
45298,4478509.541,338237.762,2104.212
45296,4478475.913,338244.882,2105.388
45294,4478461.388,338249.66,2106.138
45293,4478446.221,338253.222,2106.511
45292,4478430.59,338253.865,2107.02
45291,4478415.113,338254.08,2107.278
45290,4478400.581,338254.172,2107.599
45289,4478386.806,338257.198,2107.81
45288,4478372.926,338262.069,2108.287
45287,4478361.105,338269.633,2108.739
45286,4478348.318,338277.283,2109.409
45285,4478336.428,338284.363,2109.972
45284,4478324.342,338291.583,2110.858
45283,4478312.118,338297.342,2112.046
45282,4478296.82,338300.476,2113.204
45281,4478282.039,338299.827,2114.194
45280,4478264.584,338294.602,2114.721
45279,4478249.653,338298.796,2115.179
45278,4478235.794,338305.625,2115.857
45277,4478226.179,338320.087,2116.681
45276,4478214.655,338329.345,2117.267
45275,4478203.472,338336.315,2117.54
45274,4478189.875,338346.006,2117.719
45273,4478177.264,338354.652,2117.77
45272,4478163.681,338361.749,2117.9
45271,4478149.822,338367.818,2118.241
45270,4478137.944,338372.702,2118.897
45269,4478124.124,338378.809,2119.869
45268,4478110.573,338385.49,2120.404
45267,4478097.641,338392.962,2120.655
45266,4478085.066,338401.661,2121.044
45265,4478072.404,338408.277,2121.89
45264,4478054.707,338407.31,2121.778
45263,4478040.304,338405.132,2121.603
45262,4478023.218,338405.16,2121.58
45261,4478007.815,338408.273,2121.62
45260,4477992.507,338413.331,2121.972
45259,4477979.703,338419.868,2122.767
45258,4477973.459,338427.616,2123.213
45257,4477965.515,338441.235,2123.312
45256,4477957.267,338454.66,2123.975
45255,4477948.401,338467.036,2124.243
45254,4477937.264,338478.11,2124.855
45253,4477923.649,338486.984,2125.466
45252,4477911.265,338492.946,2125.583
45251,4477896.489,338500.795,2126.587
45250,4477881.57,338505.356,2126.828
45249,4477872.447,338507.109,2127.148
45248,4477857.791,338509.11,2127.795
45247,4477842.695,338510.524,2128.677
45246,4477829.252,338512.572,2129.442
45245,4477816.078,338517.273,2130.107
45244,4477801.745,338530.218,2131.33
45243,4477795.68,338538.807,2132.106
45242,4477789.348,338550.114,2132.721
45241,4477785.784,338565.307,2132.726
45240,4477777.015,338578.055,2132.679
45239,4477755.732,338583.084,2132.901
45238,4477744.673,338586.996,2133.611
45237,4477729.602,338592.053,2134.065
45236,4477715.027,338597.985,2134.619
45235,4477703.249,338607.603,2134.889
45234,4477695.404,338620.212,2134.982
45233,4477689.844,338636.397,2135.312
45232,4477688.714,338658.578,2136.11
