Name,X,Y,Z
43101,334041.164,4476897.815,2103.641
43102,334050.59,4476892.771,2103.694
43103,334066.625,4476892.509,2103.198
43104,334081.548,4476892.81,2102.705
43105,334096.908,4476891.186,2102.255
43106,334111.977,4476890.341,2101.732
43107,334128.135,4476890.321,2101.045
43108,334144.124,4476890.351,2100.493
43109,334161.164,4476890.831,2099.843
43110,334178.1,4476889.547,2098.778
43111,334185.571,4476889.729,2098.417
43112,334199.373,4476889.737,2097.707
43113,334213.708,4476889.763,2097.053
43114,334227.982,4476889.73,2096.339
43115,334241.157,4476890.036,2095.801
43116,334255.602,4476889.788,2095.153
43117,334268.815,4476889.979,2094.698
43118,334281.895,4476889.773,2094.112
43119,334301.64,4476889.936,2093.281
43120,334316.029,4476890.999,2092.973
43121,334330.504,4476890.872,2092.561
43122,334345.034,4476890.38,2092.242
43123,334364.885,4476893.362,2091.378
43124,334379.751,4476891.574,2091.102
43125,334394.113,4476891.596,2090.863
43126,334410.338,4476890.729,2090.819
43127,334426.636,4476890.434,2090.836
43128,334441.778,4476890.992,2090.21
43129,334458.497,4476891.488,2090.413
43130,334471.958,4476890.25,2091.718
43131,334485.507,4476891.26,2092.631
43132,334500.041,4476891.292,2093.668
43133,334513.613,4476890.759,2093.967
43134,334529.862,4476891.353,2094.21
43135,334545.384,4476891.717,2093.97
43136,334559.331,4476892.069,2093.787
43137,334574.836,4476891.589,2094.104
43138,334589.569,4476891.638,2094.674
43139,334610.225,4476893.914,2094.706
43140,334619.711,4476891.692,2093.9
43141,334635.148,4476892.059,2093.189
43142,334649.432,4476891.46,2092.583
43143,334664.202,4476891.462,2092.137
43144,334679.696,4476891.236,2091.812
43145,334694.471,4476891.724,2091.256
43146,334710.426,4476891.924,2092.175
43147,334724.267,4476891.842,2091.416
43148,334738.395,4476891.343,2091.752
43149,334761.183,4476890.939,2093.129
43150,334771.322,4476890.553,2093.824
43151,334784.925,4476890.608,2094.388
43152,334799.122,4476890.552,2094.54
43153,334815.096,4476891.104,2094.781
43154,334830.124,4476890.76,2095.478
43155,334844.29,4476891.062,2095.933
43156,334861.46,4476890.531,2096.425
43157,334875.276,4476891.726,2096.59
43158,334890.063,4476892.351,2096.727
43159,334902.502,4476891.348,2097.079
43160,334919.083,4476891.756,2097.176
43161,334938.534,4476891.493,2097.01
43162,334953.231,4476891.864,2096.885
43163,334968.265,4476888.947,2098.318
43164,334982.075,4476892.364,2099.059
43165,334996.655,4476890.585,2099.895
43166,335012.099,4476890.456,2100.243
43167,335027.698,4476890.642,2099.985
43168,335043.002,4476891.124,2099.529
43169,335056.382,4476889.542,2099.644
43170,335071.689,4476890.286,2099.4
43171,335086.44,4476890.609,2099.505
43172,335099.866,4476890.528,2099.423
